,Time,Temperature,Pressure,Acceleration
0,0,30.0,101.25,0.0
1,0,29.986,101.198,0.0
2,0,29.974,101.18499999999999,0.002
3,0,29.958000000000002,101.1265,0.006500000000000001
4,0,29.944000000000003,101.107,0.01025
5,0,29.930000000000003,101.094,0.01625
6,0,29.924000000000003,101.0615,0.02125
7,0,29.918000000000003,101.00949999999999,0.022750000000000003
8,0,29.904000000000003,100.99649999999998,0.022750000000000003
9,0,29.892000000000003,100.95099999999998,0.03275
10,0,29.876000000000005,100.94449999999998,0.04175
11,0,29.870000000000005,100.89899999999997,0.051750000000000004
12,0,29.860000000000003,100.86649999999997,0.07650000000000001
13,0,29.842000000000002,100.85999999999997,0.09750000000000002
14,0,29.842000000000002,100.85349999999997,0.10400000000000002
15,0,29.824,100.82099999999997,0.10750000000000003
16,0,29.812,100.80799999999996,0.14125000000000004
17,0,29.794,100.76899999999996,0.14925000000000005
18,0,29.778000000000002,100.76249999999996,0.17475000000000004
19,0,29.768,100.70399999999997,0.20625000000000004
20,0,29.758,100.70399999999997,0.22050000000000006
21,0,29.742,100.68449999999997,0.24550000000000005
22,0,29.740000000000002,100.67799999999997,0.25075000000000003
23,0,29.738000000000003,100.61949999999997,0.25075000000000003
24,0,29.722000000000005,100.60649999999997,0.2565
25,0,29.718000000000004,100.59999999999997,0.3045
26,0,29.712000000000003,100.56099999999996,0.31074999999999997
27,0,29.698000000000004,100.53499999999997,0.36924999999999997
28,0,29.682000000000006,100.48949999999996,0.38949999999999996
29,0,29.670000000000005,100.45699999999997,0.4105
30,0,29.666000000000004,100.44399999999996,0.41774999999999995
31,0,29.654000000000003,100.39199999999995,0.43274999999999997
32,0,29.654000000000003,100.39199999999995,0.44825
33,0,29.644000000000002,100.33349999999996,0.45625
34,0,29.632,100.32049999999995,0.47275
35,0,29.628,100.27499999999995,0.51525
36,0,29.628,100.23599999999995,0.53275
37,0,29.622,100.19699999999995,0.57775
38,0,29.612,100.18399999999994,0.6425
39,0,29.593999999999998,100.15799999999994,0.6995
40,0,29.586,100.14499999999994,0.7385
41,0,29.572,100.10599999999994,0.7485
42,0,29.554,100.04749999999994,0.77925
43,0,29.535999999999998,99.98899999999995,0.78975
44,0,29.52,99.96299999999995,0.83275
45,0,29.514,99.96299999999995,0.88775
46,0,29.503999999999998,99.93049999999995,0.95525
47,0,29.485999999999997,99.88499999999995,0.9782500000000001
48,0,29.473999999999997,99.87849999999995,1.0135
